Object Oriented Programming,CST8132,Quiz:April 13|Lab exam:April 7|Final Exam:April 17
Linux Operating Systems, ,Final Exam:April 14
Network Programming Basics,CST8108,Practice Subnetting:None|SBA practice for final exam:April 7|Lab exam:April 7|Bonus Hybrid Quiz:April 11|Final Exam:April 12
Technical Communications for Engineering Technology,ENL2019T 306,
Calculas 1,MAT8201 010,Practice Math:None|Final Exam:April 16
Personal Projects,,HackerRank:none|JavaScript * React:none|Linux Scripting:none|Debugging:none|Git:none|StudyStackV3:none
